name,company,year,kms_driven,fuel_type
Maruti Suzuki Swift,Maruti,2014,35522,Diesel
Maruti Suzuki Swift,Maruti,2007,62000,Petrol
Renault Duster 85,Renault,2014,59000,Diesel
Maruti Suzuki Wagon,Maruti,2013,39000,Petrol
Renault Duster 110,Renault,2013,39000,Diesel
Renault Lodgy 85,Renault,2018,20000,Diesel
Maruti Suzuki Swift,Maruti,2014,55000,Diesel
Hyundai Accent GLE,Hyundai,2006,55000,Petrol
Renault Kwid,Renault,2016,11000,Petrol
Skoda Fabia Classic,Skoda,2010,60000,Petrol
Ford Figo Diesel,Ford,2014,50000,Diesel
Tata Vista Quadrajet,Tata,2011,90000,Diesel
Mahindra Scorpio S10,Mahindra,2015,48508,Diesel
Mahindra Quanto C8,Mahindra,2013,40000,Diesel
Chevrolet Spark,Chevrolet,2012,33600,Petrol
Hyundai Santro Xing,Hyundai,2005,7500,Petrol
Audi A4 2.0,Audi,2012,40000,Diesel
Hyundai Elantra 1.8,Hyundai,2012,65000,Petrol
Toyota Innova 2.5,Toyota,2012,99000,Diesel
Chevrolet Spark 1.0,Chevrolet,2011,27000,Petrol
Mahindra Scorpio VLX,Mahindra,2014,50000,Diesel
Mahindra XUV500 W8,Mahindra,2015,53000,Diesel
Renault Lodgy 85,Renault,2018,20000,Diesel
Toyota Fortuner 3.0,Toyota,2015,120000,Diesel
Maruti Suzuki Omni,Maruti,2009,45000,Petrol
Maruti Suzuki Wagon,Maruti,2003,133000,Petrol
Mahindra Scorpio SLE,Mahindra,2015,48660,Diesel
Honda Brio VX,Honda,2017,11000,Petrol
Mahindra Scorpio S10,Mahindra,2016,39522,Diesel
Maruti Suzuki Dzire,Maruti,2014,55000,Diesel
Mahindra Jeep CL550,Mahindra,2019,0,Diesel
Honda City,Honda,2015,55000,Petrol
Tata Indigo eCS,Tata,2017,130000,Diesel
Skoda Octavia Classic,Skoda,2006,65000,Diesel
Mahindra Scorpio S10,Mahindra,2016,43000,Diesel
Tata Sumo Gold,Tata,2013,100000,Petrol
Chevrolet Tavera Neo,Chevrolet,2007,100800,Diesel
Maruti Suzuki Baleno,Maruti,2016,22000,Petrol
Force Motors One,Force,2013,140000,Diesel
Tata Indigo LX,Tata,2016,104000,Diesel
Toyota Fortuner 3.0,Toyota,2010,131000,Diesel
Hyundai Verna 1.6,Hyundai,2019,2000,Petrol
Hyundai Elite i20,Hyundai,2015,20000,Petrol
Maruti Suzuki Swift,Maruti,2017,15487,Petrol
Mitsubishi Lancer 1.8,Mitsubishi,2006,50000,Petrol
Maruti Suzuki SX4,Maruti,2012,46000,Diesel
Mahindra XUV500 W8,Mahindra,2013,38000,Diesel
Ford EcoSport Trend,Ford,2016,24330,Diesel
Datsun Go Plus,Datsun,2016,13900,Petrol
Hyundai Eon,Hyundai,2013,25000,Petrol
Ford Endeavor 4x4,Ford,2019,9000,Diesel
Audi A8,Audi,2017,4000,Petrol
Mahindra Jeep MM,Mahindra,2019,60,Diesel
Maruti Suzuki Esteem,Maruti,2007,51000,Petrol
Force Motors Force,Force,2015,3200,Diesel
Renault Duster 110PS,Renault,2012,35000,Diesel
Chevrolet Beat Diesel,Chevrolet,2011,56000,Diesel
Hyundai i10 Magna,Hyundai,2011,45000,Petrol
Maruti Suzuki Eeco,Maruti,2015,55000,Petrol
Maruti Suzuki Estilo,Maruti,2013,65000,Petrol
Mini Cooper S,Mini,2013,13000,Petrol
Mahindra Xylo D2,Mahindra,2009,62000,Diesel
Chevrolet Sail UVA,Chevrolet,2013,60000,Petrol
Mahindra Quanto C8,Mahindra,2013,37000,Diesel
Hyundai i20 Magna,Hyundai,2013,35000,Petrol
Hyundai Getz Prime,Hyundai,2009,20000,Petrol
Hyundai Getz Prime,Hyundai,2009,20000,Petrol
Renault Duster 110PS,Renault,2012,35000,Diesel
Honda Jazz VX,Honda,2016,41000,Petrol
Hyundai Getz GLE,Hyundai,2007,55000,Petrol
Hyundai i20,Hyundai,2014,23000,Petrol
Ford EcoSport Ambiente,Ford,2016,24530,Diesel
Hyundai Verna,Hyundai,2014,44000,Diesel
Tata Sumo Gold,Tata,2014,99000,Diesel
Hyundai Elantra SX,Hyundai,2013,20000,Petrol
Maruti Suzuki Zen,Maruti,2004,56000,Petrol
Hyundai Xcent Base,Hyundai,2016,140000,Diesel
Volkswagen Vento Konekt,Volkswagen,2011,65000,Diesel
Mahindra Xylo E8,Mahindra,2010,40000,Diesel
Hyundai Elite i20,Hyundai,2017,31000,Petrol
Hyundai Verna Transform,Hyundai,2008,45000,Petrol
Hyundai Grand i10,Hyundai,2014,25000,Petrol
Hyundai Elite i20,Hyundai,2011,40000,Petrol
Toyota Etios,Toyota,2011,36000,Diesel
Maruti Suzuki A,Maruti,2011,12500,Petrol
Audi A3 Cabriolet,Audi,2015,12516,Petrol
Hyundai i10 Sportz,Hyundai,2012,34000,Petrol
Maruti Suzuki Wagon,Maruti,2006,48000,Petrol
Maruti Suzuki Baleno,Maruti,2017,32000,Diesel
Honda City SV,Honda,2017,4000,Petrol
Honda City 1.5,Honda,2005,68000,Petrol
Ford EcoSport Titanium,Ford,2016,30000,Diesel
Audi Q7,Audi,2014,16934,Diesel
Maruti Suzuki SX4,Maruti,2016,85960,Diesel
Datsun Redi GO,Datsun,2017,22000,Petrol
Maruti Suzuki Ertiga,Maruti,2015,75000,Petrol
Maruti Suzuki Wagon,Maruti,2009,45000,Petrol
Tata Sumo Gold,Tata,2013,50000,Diesel
Renault Duster 85,Renault,2013,27000,Diesel
Land Rover Freelander,Land,2015,30000,Diesel
Mahindra Scorpio,Mahindra,2015,22000,Diesel
Chevrolet Beat PS,Chevrolet,2012,65422,Diesel
Maruti Suzuki Swift,Maruti,2013,13349,Petrol
Skoda Fabia 1.2L,Skoda,2011,38200,Diesel
Mahindra XUV500,Mahindra,2015,15000,Diesel
Hyundai Elite i20,Hyundai,2015,30000,Petrol
Mahindra TUV300 T4,Mahindra,2017,68000,Diesel
Hyundai i20 Asta,Hyundai,2012,36200,Diesel
Maruti Suzuki Zen,Maruti,2002,10544,Petrol
Toyota Corolla Altis,Toyota,2014,29000,Petrol
Tata Tiago Revotron,Tata,2018,3500,Petrol
Hyundai Santro,Hyundai,2002,47000,Petrol
Honda City 1.5,Honda,2010,70000,Petrol
Hyundai Eon,Hyundai,2018,25000,Petrol
Maruti Suzuki Celerio,Maruti,2018,37000,Petrol
Volvo S80 Summum,Volvo,2015,42000,Diesel
Audi A6 2.0,Audi,2012,11500,Diesel
Fiat Punto Emotion,Fiat,2012,37200,Diesel
Chevrolet Spark LT,Chevrolet,2010,45000,Petrol
Renault Duster,Renault,2014,50000,Diesel
Honda Amaze 1.2,Honda,2014,42000,Petrol
Chevrolet Cruze LTZ,Chevrolet,2011,35000,Diesel
Maruti Suzuki SX4,Maruti,2012,46000,Diesel
Chevrolet Spark LS,Chevrolet,2010,23000,Petrol
